Pond,OffspringID,Offspring GAV,Log10 GAV ,GAV present,Candidate mother ID,Mother GAV ,Mother Log10 GAV ,GAV present,Candidate father ID,Father GAV ,Log10 GAV ,Family,Pond,Family,,Family #,Family,Offspring count
149,G1T1701_149_001_D12_G,130220.74,5.11,1,G1T1701_BR_182_MP,18034.23,4.26,1,G1T1701_BR_024_P,9561.77,3.98,G1T1701_BR_182_MP__G1T1701_BR_024_P,149,14,,,,
149,G1T1701_149_001_D5_G,28.24,1.45,1,G1T1701_BR_360_MP,1,0,0,G1T1701_BR_318_MP,170976.47,5.23,G1T1701_BR_360_MP__G1T1701_BR_318_MP,149,4,,,,
149,G1T1701_149_001_D7_G,25.28,1.4,1,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_001_D9_G,ND,0,0,G1T1701_BR_053_GP,60211.17,4.78,1,G1T1701_BR_006_P,2980.15,3.47,G1T1701_BR_053_GP__G1T1701_BR_006_P,149,6,,,,
149,G1T1701_149_001_E12_G,ND,0,0,G1T1701_BR_182_MP,18034.23,4.26,1,G1T1701_BR_023_P,3026.08,3.48,G1T1701_BR_182_MP__G1T1701_BR_023_P,149,2,,,,
149,G1T1701_149_001_E2_G,15.85,1.2,1,G1T1701_BR_166_MP,1,0,0,G1T1701_BR_263_MP,NA,NA,G1T1701_BR_166_MP__G1T1701_BR_263_MP,149,3,,,,
149,G1T1701_149_001_E3_G,ND,0,0,G1T1701_BR_053_GP,60211.17,4.78,1,G1T1701_BR_005_P,1,0,G1T1701_BR_053_GP__G1T1701_BR_005_P,149,11,,,,
149,G1T1701_149_001_E6_G,283.9,2.45,1,G1T1701_BR_113_MP,1964504.58,6.29,1,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_113_MP__G1T1701_BR_262_MP,149,24,,,,
149,G1T1701_149_001_E8_G,14925.19,4.17,1,G1T1701_BR_401_MP,1578548.68,6.2,1,G1T1701_BR_025_P,5922.84,3.77,G1T1701_BR_401_MP__G1T1701_BR_025_P,150,12,,,,
149,G1T1701_149_001_F1_G,ND,0,0,G1T1701_BR_053_GP,60211.17,4.78,1,G1T1701_BR_006_P,2980.15,3.47,G1T1701_BR_053_GP__G1T1701_BR_006_P,149,6,,,,
149,G1T1701_149_001_F11_G,30.92,1.49,1,G1T1701_BR_166_MP,1,0,0,G1T1701_BR_263_MP,NA,NA,G1T1701_BR_166_MP__G1T1701_BR_263_MP,149,3,,,,
149,G1T1701_149_001_F12_G,47.77,1.68,1,G1T1701_BR_119_MP,1,0,0,G1T1701_BR_015_P,88143.08,4.95,G1T1701_BR_119_MP__G1T1701_BR_015_P,149,18,,,,
149,G1T1701_149_001_F2_G,121.89,2.09,1,G1T1701_BR_048_P,144512.59,5.16,1,G1T1701_BR_002_P,2251.82,3.35,G1T1701_BR_048_P__G1T1701_BR_002_P,149,10,,,,
149,G1T1701_149_001_F3_G,ND,0,0,G1T1701_BR_182_MP,18034.23,4.26,1,G1T1701_BR_023_P,3026.08,3.48,G1T1701_BR_182_MP__G1T1701_BR_023_P,149,2,,,,
149,G1T1701_149_001_F5_G,ND,0,0,G1T1701_BR_139_MP,234254722.7,8.37,1,G1T1701_BR_042_P,11859.57,4.07,G1T1701_BR_139_MP__G1T1701_BR_042_P,149,5,,,,
149,G1T1701_149_001_F6_G,ND,0,0,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_001_F7_G,ND,0,0,G1T1701_BR_139_MP,234254722.7,8.37,1,G1T1701_BR_042_P,11859.57,4.07,G1T1701_BR_139_MP__G1T1701_BR_042_P,149,5,,,,
149,G1T1701_149_001_F8_G,25.61,1.41,1,G1T1701_BR_113_MP,1964504.58,6.29,1,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_113_MP__G1T1701_BR_262_MP,149,24,,,,
149,G1T1701_149_001_F9_G,ND,0,0,G1T1701_BR_113_MP,1964504.58,6.29,1,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_113_MP__G1T1701_BR_262_MP,149,24,,,,
149,G1T1701_149_001_G1_G,ND,0,0,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_001_G10_G,105.2,2.02,1,G1T1701_BR_048_P,144512.59,5.16,1,G1T1701_BR_001_P,4426.3,3.65,G1T1701_BR_048_P__G1T1701_BR_001_P,149,7,,,,
149,G1T1701_149_001_G11_G,ND,0,0,G1T1701_BR_067_GP,210466.95,5.32,1,G1T1701_BR_037_P,1989.87,3.3,G1T1701_BR_067_GP__G1T1701_BR_037_P,149,8,,,,
149,G1T1701_149_001_G2_G,2561.36,3.41,1,G1T1701_BR_068_P,4087454.47,6.61,1,G1T1701_BR_017_P,1,0,G1T1701_BR_068_P__G1T1701_BR_017_P,150,17,,,,
149,G1T1701_149_001_G4_G,ND,0,0,G1T1701_BR_048_P,144512.59,5.16,1,G1T1701_BR_002_P,2251.82,3.35,G1T1701_BR_048_P__G1T1701_BR_002_P,149,10,,,,
149,G1T1701_149_001_G7_G,ND,0,0,G1T1701_BR_139_MP,234254722.7,8.37,1,G1T1701_BR_042_P,11859.57,4.07,G1T1701_BR_139_MP__G1T1701_BR_042_P,149,5,,,,
149,G1T1701_149_001_G9_G,15029.28,4.18,1,G1T1701_BR_048_P,144512.59,5.16,1,G1T1701_BR_001_P,4426.3,3.65,G1T1701_BR_048_P__G1T1701_BR_001_P,149,7,,,,
149,G1T1701_149_001_H1_G,ND,0,0,G1T1701_BR_139_MP,234254722.7,8.37,1,G1T1701_BR_042_P,11859.57,4.07,G1T1701_BR_139_MP__G1T1701_BR_042_P,149,5,,,,
149,G1T1701_149_001_H10_G,59351.97,4.77,1,G1T1701_BR_048_P,144512.59,5.16,1,G1T1701_BR_002_P,2251.82,3.35,G1T1701_BR_048_P__G1T1701_BR_002_P,149,10,,,,
149,G1T1701_149_001_H11_G,ND,0,0,G1T1701_BR_166_MP,1,0,0,G1T1701_BR_263_MP,NA,NA,G1T1701_BR_166_MP__G1T1701_BR_263_MP,149,3,,,,
149,G1T1701_149_001_H3_G,28.89,1.46,1,G1T1701_BR_134_MP,923130.2,5.97,1,G1T1701_BR_444_MP,208114.95,5.32,G1T1701_BR_134_MP__G1T1701_BR_444_MP,149,16,,,,
149,G1T1701_149_001_H4_G,10.68,1.03,1,G1T1701_BR_182_MP,18034.23,4.26,1,G1T1701_BR_024_P,9561.77,3.98,G1T1701_BR_182_MP__G1T1701_BR_024_P,149,14,,,,
149,G1T1701_149_001_H5_G,ND,0,0,G1T1701_BR_123_MP,1,0,0,G1T1701_BR_251_MP,2664921.81,6.43,G1T1701_BR_123_MP__G1T1701_BR_251_MP,149,26,,,,
149,G1T1701_149_001_H6_G,ND,0,0,G1T1701_BR_182_MP,18034.23,4.26,1,G1T1701_BR_023_P,3026.08,3.48,G1T1701_BR_182_MP__G1T1701_BR_023_P,149,2,,,,
149,G1T1701_149_001_H8_G,ND,0,0,G1T1701_BR_049_GP,1,0,0,G1T1701_BR_003_P,2321.52,3.37,G1T1701_BR_049_GP__G1T1701_BR_003_P,149,9,,,,
149,G1T1701_149_002_A1_G,371.21,2.57,1,G1T1701_BR_139_MP,234254722.7,8.37,1,G1T1701_BR_042_P,11859.57,4.07,G1T1701_BR_139_MP__G1T1701_BR_042_P,149,5,,,,
149,G1T1701_149_002_A10_G,99.86,2,1,G1T1701_BR_182_MP,18034.23,4.26,1,G1T1701_BR_024_P,9561.77,3.98,G1T1701_BR_182_MP__G1T1701_BR_024_P,149,14,,,,
149,G1T1701_149_002_A11_G,213.66,2.33,1,G1T1701_BR_068_P,4087454.47,6.61,1,G1T1701_BR_017_P,1,0,G1T1701_BR_068_P__G1T1701_BR_017_P,150,17,,,,
149,G1T1701_149_002_A12_G,160.34,2.21,1,G1T1701_BR_139_MP,234254722.7,8.37,1,G1T1701_BR_042_P,11859.57,4.07,G1T1701_BR_139_MP__G1T1701_BR_042_P,149,5,,,,
149,G1T1701_149_002_A2_G,ND,0,0,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_A3_G,337948.16,5.53,1,G1T1701_BR_048_P,144512.59,5.16,1,G1T1701_BR_001_P,4426.3,3.65,G1T1701_BR_048_P__G1T1701_BR_001_P,149,7,,,,
149,G1T1701_149_002_A4_G,114.12,2.06,1,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_A5_G,ND,0,0,G1T1701_BR_053_GP,60211.17,4.78,1,G1T1701_BR_006_P,2980.15,3.47,G1T1701_BR_053_GP__G1T1701_BR_006_P,149,6,,,,
149,G1T1701_149_002_A6_G,26533.68,4.42,1,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_A7_G,3355884.69,6.53,1,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_A8_G,ND,0,0,G1T1701_BR_048_P,144512.59,5.16,1,G1T1701_BR_002_P,2251.82,3.35,G1T1701_BR_048_P__G1T1701_BR_002_P,149,10,,,,
149,G1T1701_149_002_A9_G,282.81,2.45,1,G1T1701_BR_048_P,144512.59,5.16,1,G1T1701_BR_002_P,2251.82,3.35,G1T1701_BR_048_P__G1T1701_BR_002_P,149,10,,,,
149,G1T1701_149_002_B1_G,740.76,2.87,1,G1T1701_BR_048_P,144512.59,5.16,1,G1T1701_BR_002_P,2251.82,3.35,G1T1701_BR_048_P__G1T1701_BR_002_P,149,10,,,,
149,G1T1701_149_002_B10_G,134837.66,5.13,1,G1T1701_BR_119_MP,1,0,0,G1T1701_BR_324_MP,46124.04,4.66,G1T1701_BR_119_MP__G1T1701_BR_324_MP,149,13,,,,
149,G1T1701_149_002_B11_G,ND,0,0,G1T1701_BR_182_MP,18034.23,4.26,1,G1T1701_BR_023_P,3026.08,3.48,G1T1701_BR_182_MP__G1T1701_BR_023_P,149,2,,,,
149,G1T1701_149_002_B12_G,391.14,2.59,1,G1T1701_BR_049_GP,1,0,0,G1T1701_BR_003_P,2321.52,3.37,G1T1701_BR_049_GP__G1T1701_BR_003_P,149,9,,,,
149,G1T1701_149_002_B2_G,ND,0,0,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_B4_G,ND,0,0,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_B5_G,639.15,2.81,1,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_B7_G,79650.92,4.9,1,G1T1701_BR_119_MP,1,0,0,G1T1701_BR_324_MP,46124.04,4.66,G1T1701_BR_119_MP__G1T1701_BR_324_MP,149,13,,,,
149,G1T1701_149_002_B8_G,147.99,2.17,1,G1T1701_BR_053_GP,60211.17,4.78,1,G1T1701_BR_006_P,2980.15,3.47,G1T1701_BR_053_GP__G1T1701_BR_006_P,149,6,,,,
149,G1T1701_149_002_C1_G,ND,0,0,G1T1701_BR_113_MP,1964504.58,6.29,1,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_113_MP__G1T1701_BR_262_MP,149,24,,,,
149,G1T1701_149_002_C2_G,ND,0,0,G1T1701_BR_166_MP,1,0,0,G1T1701_BR_263_MP,NA,NA,G1T1701_BR_166_MP__G1T1701_BR_263_MP,149,3,,,,
149,G1T1701_149_002_C3_G,1001329.61,6,1,G1T1701_BR_113_MP,1964504.58,6.29,1,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_113_MP__G1T1701_BR_262_MP,149,24,,,,
149,G1T1701_149_002_C5_G,ND,0,0,G1T1701_BR_067_GP,210466.95,5.32,1,G1T1701_BR_037_P,1989.87,3.3,G1T1701_BR_067_GP__G1T1701_BR_037_P,149,8,,,,
149,G1T1701_149_002_C6_G,510906.37,5.71,1,G1T1701_BR_171_M,1,0,0,G1T1701_BR_372_MP,1488708.18,6.17,G1T1701_BR_171_M__G1T1701_BR_372_MP,149,2,,,,
149,G1T1701_149_002_C7_G,896.25,2.95,1,G1T1701_BR_113_MP,1964504.58,6.29,1,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_113_MP__G1T1701_BR_262_MP,149,24,,,,
149,G1T1701_149_002_C8_G,ND,0,0,G1T1701_BR_113_MP,1964504.58,6.29,1,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_113_MP__G1T1701_BR_262_MP,149,24,,,,
149,G1T1701_149_002_D1_G,112.26,2.05,1,G1T1701_BR_053_GP,60211.17,4.78,1,G1T1701_BR_006_P,2980.15,3.47,G1T1701_BR_053_GP__G1T1701_BR_006_P,149,6,,,,
149,G1T1701_149_002_D12_G,124.31,2.09,1,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_D3_G,1054.62,3.02,1,G1T1701_BR_113_MP,1964504.58,6.29,1,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_113_MP__G1T1701_BR_262_MP,149,24,,,,
149,G1T1701_149_002_D4_G,3059.55,3.49,1,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_D5_G,149.73,2.18,1,G1T1701_BR_049_GP,1,0,0,G1T1701_BR_003_P,2321.52,3.37,G1T1701_BR_049_GP__G1T1701_BR_003_P,149,9,,,,
149,G1T1701_149_002_D7_G,33469.44,4.52,1,G1T1701_BR_119_MP,1,0,0,G1T1701_BR_324_MP,46124.04,4.66,G1T1701_BR_119_MP__G1T1701_BR_324_MP,149,13,,,,
149,G1T1701_149_002_D8_G,185.83,2.27,1,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_D9_G,ND,0,0,G1T1701_BR_113_MP,1964504.58,6.29,1,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_113_MP__G1T1701_BR_262_MP,149,24,,,,
149,G1T1701_149_002_E10_G,542.76,2.73,1,G1T1701_BR_048_P,144512.59,5.16,1,G1T1701_BR_002_P,2251.82,3.35,G1T1701_BR_048_P__G1T1701_BR_002_P,149,10,,,,
149,G1T1701_149_002_E11_G,ND,0,0,G1T1701_BR_053_GP,60211.17,4.78,1,G1T1701_BR_006_P,2980.15,3.47,G1T1701_BR_053_GP__G1T1701_BR_006_P,149,6,,,,
149,G1T1701_149_002_E12_G,ND,0,0,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_E3_G,304.47,2.48,1,G1T1701_BR_048_P,144512.59,5.16,1,G1T1701_BR_002_P,2251.82,3.35,G1T1701_BR_048_P__G1T1701_BR_002_P,149,10,,,,
149,G1T1701_149_002_E4_G,ND,0,0,G1T1701_BR_064_P,3191.93,3.5,1,G1T1701_BR_033_P,5564.83,3.75,G1T1701_BR_064_P__G1T1701_BR_033_P,149,20,,,,
149,G1T1701_149_002_E5_G,1300.45,3.11,1,G1T1701_BR_048_P,144512.59,5.16,1,G1T1701_BR_001_P,4426.3,3.65,G1T1701_BR_048_P__G1T1701_BR_001_P,149,7,,,,
149,G1T1701_149_002_E6_G,115512.58,5.06,1,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_E8_G,344.69,2.54,1,G1T1701_BR_068_P,4087454.47,6.61,1,G1T1701_BR_017_P,1,0,G1T1701_BR_068_P__G1T1701_BR_017_P,150,17,,,,
149,G1T1701_149_002_E9_G,ND,0,0,G1T1701_BR_049_GP,1,0,0,G1T1701_BR_003_P,2321.52,3.37,G1T1701_BR_049_GP__G1T1701_BR_003_P,149,9,,,,
149,G1T1701_149_002_F1_G,330.84,2.52,1,G1T1701_BR_068_P,4087454.47,6.61,1,G1T1701_BR_017_P,1,0,G1T1701_BR_068_P__G1T1701_BR_017_P,150,17,,,,
149,G1T1701_149_002_F10_G,ND,0,0,G1T1701_BR_360_MP,1,0,0,G1T1701_BR_318_MP,170976.47,5.23,G1T1701_BR_360_MP__G1T1701_BR_318_MP,149,4,,,,
149,G1T1701_149_002_F11_G,ND,0,0,G1T1701_BR_053_GP,60211.17,4.78,1,G1T1701_BR_005_P,1,0,G1T1701_BR_053_GP__G1T1701_BR_005_P,149,11,,,,
149,G1T1701_149_002_F12_G,817.41,2.91,1,G1T1701_BR_166_MP,1,0,0,G1T1701_BR_263_MP,NA,NA,G1T1701_BR_166_MP__G1T1701_BR_263_MP,149,3,,,,
149,G1T1701_149_002_F3_G,91181.51,4.96,1,G1T1701_BR_182_MP,18034.23,4.26,1,G1T1701_BR_023_P,3026.08,3.48,G1T1701_BR_182_MP__G1T1701_BR_023_P,149,2,,,,
149,G1T1701_149_002_F4_G,557000.74,5.75,1,G1T1701_BR_182_MP,18034.23,4.26,1,G1T1701_BR_024_P,9561.77,3.98,G1T1701_BR_182_MP__G1T1701_BR_024_P,149,14,,,,
149,G1T1701_149_002_F5_G,422247.85,5.63,1,G1T1701_BR_139_MP,234254722.7,8.37,1,G1T1701_BR_042_P,11859.57,4.07,G1T1701_BR_139_MP__G1T1701_BR_042_P,149,5,,,,
149,G1T1701_149_002_F8_G,ND,0,0,G1T1701_BR_131_M,1,0,0,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,149,1,,,,
149,G1T1701_149_002_F9_G,ND,0,0,G1T1701_BR_053_GP,60211.17,4.78,1,G1T1701_BR_006_P,2980.15,3.47,G1T1701_BR_053_GP__G1T1701_BR_006_P,149,6,,,,
149,G1T1701_149_002_G1_G,352.33,2.55,1,G1T1701_BR_182_MP,18034.23,4.26,1,G1T1701_BR_024_P,9561.77,3.98,G1T1701_BR_182_MP__G1T1701_BR_024_P,149,14,,,,
149,G1T1701_149_002_G10_G,5249.95,3.72,1,G1T1701_BR_139_MP,234254722.7,8.37,1,G1T1701_BR_042_P,11859.57,4.07,G1T1701_BR_139_MP__G1T1701_BR_042_P,149,5,,,,
149,G1T1701_149_002_G11_G,126.67,2.1,1,G1T1701_BR_113_MP,1964504.58,6.29,1,G1T1701_BR_262_MP,1072974.5,6.03,G1T1701_BR_113_MP__G1T1701_BR_262_MP,149,24,,,,
